Mom ID,i571,i571,i558,i571,i574,i543,i574,i547,i574,i574,i579,i546,i1996,i1995,i546,i579,i1996,i2006,i546,i543,i1996,i1978,i1998,i1990,i1998,i543,i1996,i2014,i1998,i1990,i2006,i1996,i546,i573,i2006,i573,i1978
Birthdate,38557,38557,38581,38557,38557,38573,38557,38561,38561,38561,38597,38603,38609,38663,38587,38597,38609,38663,38603,38605,38615,38667,38677,38683,38685,38605,38615,38635,38677,38683,38637,38643,38587,38599,38637,38649,38667
ID,i854,i855,i856,i857,i858,i859,i860,i861,i862,i863,i2306,i2307,i2308,i2309,i2310,i2311,i2312,i2313,i2314,i2315,i2316,i2317,i2318,i2319,i2320,i2321,i2322,i2323,i2324,i2325,i2326,i2327,i2328,i2329,i2330,i2331,i2332
Vial,MAA1,MAA2,MAA2,MAA3,MAA4,MAA4,MAA5,MAA6,MAA7,MAA8,maa1,maa1,maa1,maa1,maa2,maa2,maa2,maa2,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa4,maa4,maa4,maa4,maa4,maa5,maa5,maa6,maa6,maa6,maa6,maa6
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
71.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
73.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
75.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
77.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
79.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
81.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
83.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
85.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
87.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
89.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,
