Mom ID,i3000,i1279,i3001,i3001,i1262,i3001,i1279,i3079,i3010,i1279,i3011,i3012,i3016,i3017,i3018,i1270,i3019,i3020,i3020,i3017,i3017,i3018,i3021,i3024,i1262,i3011,i3025,NA,i3026,i1262,i1274,i1278,i3027,i1301,i1279,i1262,i3019,i3018,i3030,i1278,i3031,i1279,i3018,i3111,i1279,i3002,i3003,i3002,i3004,i3005,i1281,i3006,i3008,i3009,i1281,i3084,i3013,i3014,i3015,i3013,i1281,i3013,i1281,i3006,i3022,i3014,i3023,i1281,i3023,i3080,i1308,i3002,i3028,i3029,i3013,i3006,i3013,i3006,i3013,i3028,i3028,i3020,i3006,i1281,i3080,i3028,i3003,i3028,i1301
Birthdate,38505,38545,38505,38505,38515,38527,38535,38559,38505,38545,38547,38567,38505,38525,38529,38523,38505,38561,38565,38507,38517,38529,38569,38507,38529,38547,38561,38509,38521,38529,38519,38545,38569,38577,38519,38529,38521,38529,38521,38545,38571,38521,38531,38577,38549,38639,38641,38645,38515,38545,38587,38631,38645,38665,38587,38621,38655,38661,38671,38675,38607,38651,38597,38631,38675,38679,38685,38597,38685,38597,38613,38615,38617,38619,38623,38631,38641,38647,38623,38631,38641,38567,38647,38587,38597,38607,38609,38631,38587
ID,i1262,i1263,i1264,i1265,i1266,i1267,i1268,i1269,i1270,i1271,i1272,i1273,i1274,i1275,i1276,i1278,i1279,i1280,i1281,i1282,i1283,i1284,i1285,i1286,i1287,i1288,i1289,i1290,i1291,i1292,i1294,i1295,i1296,i1297,i1298,i1299,i1300,i1301,i1302,i1304,i1305,i1306,i1307,i1308,i1309,i3075,i3076,i3077,i3078,i3079,i3080,i3081,i3082,i3083,i3084,i3085,i3086,i3087,i3088,i3089,i3090,i3091,i3092,i3093,i3094,i3095,i3096,i3097,i3098,i3099,i3100,i3101,i3102,i3103,i3104,i3105,i3106,i3107,i3108,i3109,i3110,i3111,i3112,i3113,i3114,i3115,i3116,i3117,i3118
Vial,aa1,aa1,aa2,aa3,aa3,aa3,aa3,aa3,aa4,aa4,aa4(aa17),aa4,aa5,aa5,aa5,aa5 (aa16),aa6,aa6,aa6,aa7,aa7,aa7,aa7,aa8,aa8,aa8,aa8,aa9,aa9,aa9,aa10,aa10 (aa15),aa10,aa10,aa11,aa11,aa12,aa12 (aa13),aa13,aa14,aa14,aa15,aa15,aa16,aa18,aa1,aa1,aa1,aa2,aa2,aa2,aa3,aa3,aa3,aa4,aa4,aa4,aa4,aa4,aa4,aa5,aa6,aa7,aa7,aa7,aa7,aa7,aa8,aa8,aa9,aa10,aa10,aa10,aa11,aa11,aa11,aa11,aa11,aa12,aa12,aa12,aa13,aa13,aa14,aa14,aa14,aa14,aa14,aa15
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
33,2.483,2.444,-1,-1,-1,-1,-1,2.272,2.395,-1,-1,-1,-1,-1,-1,2.42,2.509,-1,2.42,-1,-1,2.123,-1,-1,-1,-1,1.901,-1,-1,-1,2.257,-1,-1,2.09,-1,2.321,-1,2.42,-1,-1,-1,-1,-1,2.162,-1,-1,-1,2.241,-1,2.272,2.147,-1,-1,-1,2.258,1.984,-1,-1,-1,-1,2.181,2.254,-1,2.345,-1,-1,-1,2.276,-1,2.423,-1,-1,2.37,-1,-1,-1,-1,2.172,-1,-1,-1,2.165,-1,-1,-1,-1,-1,-1,2.081
35,2.444,2.513,-1,-1,-1,-1,-1,2.346,2.543,-1,-1,-1,-1,-1,-1,2.346,2.494,-1,2.442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,2.42,-1,-1,-1,-1,-1,2.307,-1,-1,-1,2.093,-1,2.176,2.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.136,2.108,-1,2.191,-1,-1,-1,2.337,-1,2.455,-1,-1,2.267,-1,-1,-1,-1,-1,-1,-1,-1,2.207,-1,-1,-1,-1,-1,-1,2.171
37,-1,2.525,-1,-1,-1,-1,-1,2.42,-1,-1,-1,-1,-1,-1,-1,2.395,2.494,-1,2.295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,2.42,-1,-1,-1,-1,-1,2.333,-1,-1,-1,2.286,-1,2.247,2.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.123,-1,-1,2.135,-1,-1,-1,2.314,-1,2.48,-1,-1,2.29,-1,-1,-1,-1,-1,-1,-1,-1,2.297,-1,-1,-1,-1,-1,-1,2.25
39,-1,2.625,-1,-1,-1,-1,-1,2.296,-1,-1,-1,-1,-1,-1,-1,2.444,2.428,-1,2.445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.448,-1,2.353,-1,-1,-1,-1,-1,2.377,-1,-1,-1,2.282,-1,2.346,2.313,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.262,-1,-1,-1,-1,-1,-1,2.469,-1,2.568,-1,-1,2.444,-1,-1,-1,-1,-1,-1,-1,-1,2.397,-1,-1,-1,-1,-1,-1,2.227
41,-1,2.703,-1,-1,-1,-1,-1,2.28,-1,-1,-1,-1,-1,-1,-1,2.444,2.543,-1,2.406,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,2.395,-1,-1,-1,-1,-1,2.256,-1,-1,-1,2.261,-1,2.266,2.202,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.277,-1,-1,-1,-1,-1,-1,2.398,-1,2.533,-1,-1,2.432,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,2.209
43,-1,2.57,-1,-1,-1,-1,-1,2.336,-1,-1,-1,-1,-1,-1,-1,2.442,2.543,-1,2.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,2.42,-1,-1,-1,-1,-1,2.334,-1,-1,-1,-1,-1,-1,2.359,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,2.542,-1,2.404,-1,-1,2.44,-1,-1,-1,-1,-1,-1,-1,-1,2.345,-1,-1,-1,-1,-1,-1,2.255
45,-1,2.65,-1,-1,-1,-1,-1,2.292,-1,-1,-1,-1,-1,-1,-1,2.444,2.617,-1,2.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.494,-1,2.444,-1,-1,-1,-1,-1,2.356,-1,-1,-1,-1,-1,-1,2.382,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.159,-1,-1,-1,-1,-1,-1,2.547,-1,2.521,-1,-1,2.349,-1,-1,-1,-1,-1,-1,-1,-1,2.244,-1,-1,-1,-1,-1,-1,2.236
47,-1,2.65,-1,-1,-1,-1,-1,2.444,-1,-1,-1,-1,-1,-1,-1,2.444,2.657,-1,2.354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,2.568,-1,-1,-1,-1,-1,2.395,-1,-1,-1,-1,-1,-1,2.361,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.167,-1,-1,-1,-1,-1,-1,2.593,-1,2.593,-1,-1,2.507,-1,-1,-1,-1,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,2.219
49,-1,2.825,-1,-1,-1,-1,-1,2.395,-1,-1,-1,-1,-1,-1,-1,2.543,2.617,-1,2.494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.444,-1,2.642,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,2.519,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,2.4,-1,2.513,-1,-1,2.471,-1,-1,-1,-1,-1,-1,-1,-1,2.415,-1,-1,-1,-1,-1,-1,2.346
51,-1,2.65,-1,-1,-1,-1,-1,2.276,-1,-1,-1,-1,-1,-1,-1,2.37,2.617,-1,2.578,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.53,-1,2.642,-1,-1,-1,-1,-1,2.374,-1,-1,-1,-1,-1,-1,2.262,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.395,-1,-1,-1,-1,-1,-1,2.511,-1,2.637,-1,-1,2.554,-1,-1,-1,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,2.393
