Mom ID,i3032,i3048,na,i3041,i1279,i3011,i3043,i3049,i3034,i3050,i3051,i1270,i1278,i3052,i3053,i1278,i3046,i3018,i3012,i3054,i3019,i3046,i1278,i3047,i3047,i3043,i3027,i3050,i3056,i3047,i3018,i3012,i1273,i3057,i1266,i3046,i3046,i3019,i1278,i1292,na,i3054,i1292,i1274,i3025,i3031,i3102,i3084,i3015,i3022,i3014,i3015,i3039,i3014,i3055
Birthdate,38497,38543,38511,38523,38549,38569,38499,38509,38499,38527,38501,38523,38533,38501,38515,38545,38501,38519,38531,38531,38501,38523,38533,38537,38543,38501,38517,38527,38543,38505,38525,38537,38579,38503,38535,38507,38509,38509,38545,38551,38511,38531,38551,38519,38549,38603,38655,38647,38649,38619,38631,38655,38655,38631,38655
ID,i1371,i1372,i1373,i1374,i1375,i1376,i1377,i1378,i1379,i1380,i1381,i1382,i1383,i1384,i1385,i1386,i1387,i1388,i1389,i1390,i1391,i1392,i1393,i1394,i1395,i1396,i1397,i1398,i1399,i1400,i1401,i1402,i1403,i1404,i1405,i1406,i1407,i1408,i1409,i1410,i1411,i1412,i1413,i1414,i1415,i3154,i3155,i3156,i3157,i3158,i3159,i3160,i3161,i3162,i3163
Vial,c1,c1,c1 (c16),c2,c2,c2,c3,c3,c4,c4,c5,c5,c5,c6,c6,c6,c7,c7,c7,c7 (part of c17),c8,C8,C8,C8,c8,c9,c9,c9,c9,c10,c10,c10,c10,c11,c11,c12,c12 (c14),c13,c13,c13,c15,c15,c15,c17,c18,c1,c2,c3,c4,c5,c5,c5,c6,c7,c8
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
43,2.469,-1,2.444,-1,-1,2.264,-1,2.304,-1,2.198,-1,-1,2.444,-1,-1,2.204,-1,-1,-1,2.148,-1,-1,-1,-1,2.403,-1,-1,-1,2.232,-1,-1,-1,-1,-1,2.123,2.346,2.295,-1,-1,-1,-1,-1,-1,-1,-1,2.008,,,,-1,-1,,,2.184,
45,2.469,-1,2.444,-1,-1,2.422,-1,2.37,-1,2.198,-1,-1,2.37,-1,-1,2.123,-1,-1,-1,2.148,-1,-1,-1,-1,2.34,-1,-1,-1,2.468,-1,-1,-1,-1,-1,2.126,2.289,2.321,-1,-1,-1,-1,-1,-1,-1,-1,2.079,,,,-1,-1,,,2.073,
47,-1,-1,2.519,-1,-1,2.2,-1,2.346,-1,2.198,-1,-1,2.442,-1,-1,2.123,-1,-1,-1,2.222,-1,-1,-1,-1,2.346,-1,-1,-1,2.346,-1,-1,-1,-1,-1,2.198,2.346,2.321,-1,-1,-1,-1,-1,-1,-1,-1,2.222,,,,-1,-1,,,2.308,
49,-1,-1,2.519,-1,-1,2.252,-1,2.42,-1,2.272,-1,-1,2.469,-1,-1,2.173,-1,-1,-1,2.148,-1,-1,-1,-1,2.346,-1,-1,-1,2.346,-1,-1,-1,-1,-1,2.222,2.444,2.321,-1,-1,-1,-1,-1,-1,-1,-1,2.092,,,,-1,-1,,,2.185,
51,-1,-1,2.519,-1,-1,2.406,-1,2.42,-1,2.321,-1,-1,2.444,-1,-1,2.296,-1,-1,-1,2.321,-1,-1,-1,-1,2.444,-1,-1,-1,2.346,-1,-1,-1,-1,-1,2.258,2.37,2.222,-1,-1,-1,-1,-1,-1,-1,-1,2.057,,,,-1,-1,,,2.133,
53,-1,-1,2.519,-1,-1,2.414,-1,2.444,-1,2.367,-1,-1,2.367,-1,-1,2.296,-1,-1,-1,2.296,-1,-1,-1,-1,2.296,-1,-1,-1,2.444,-1,-1,-1,-1,-1,2.292,2.519,2.272,-1,-1,-1,-1,-1,-1,-1,-1,2.247,,,,-1,-1,,,2.409,
55,-1,-1,2.519,-1,-1,2.457,-1,2.469,-1,2.321,-1,-1,2.572,-1,-1,2.322,-1,-1,-1,2.173,-1,-1,-1,-1,2.469,-1,-1,-1,2.519,-1,-1,-1,-1,-1,2.272,2.469,2.37,-1,-1,-1,-1,-1,-1,-1,-1,2.253,,,,-1,-1,,,2.189,
57,-1,-1,2.576,-1,-1,2.427,-1,2.469,-1,2.321,-1,-1,2.444,-1,-1,2.193,-1,-1,-1,2.281,-1,-1,-1,-1,2.386,-1,-1,-1,2.426,-1,-1,-1,-1,-1,2.272,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,2.204,,,,-1,-1,,,,
59,-1,-1,2.519,-1,-1,2.471,-1,2.566,-1,2.197,-1,-1,2.469,-1,-1,2.182,-1,-1,-1,2.272,-1,-1,-1,-1,2.379,-1,-1,-1,2.462,-1,-1,-1,-1,-1,2.321,-1,2.394,-1,-1,-1,-1,-1,-1,-1,-1,2.296,,,,-1,-1,,,,
61,-1,-1,2.593,-1,-1,2.411,-1,2.519,-1,2.363,-1,-1,2.519,-1,-1,2.29,-1,-1,-1,2.272,-1,-1,-1,-1,2.413,-1,-1,-1,2.352,-1,-1,-1,-1,-1,2.321,-1,2.296,-1,-1,-1,-1,-1,-1,-1,-1,2.375,,,,-1,-1,,,,
63,-1,-1,2.593,-1,-1,2.467,-1,2.42,-1,2.346,-1,-1,2.593,-1,-1,2.346,-1,-1,-1,2.37,-1,-1,-1,-1,2.302,-1,-1,-1,2.545,-1,-1,-1,-1,-1,2.321,-1,2.296,-1,-1,-1,-1,-1,-1,-1,-1,2.227,,,,-1,-1,,,,
65,-1,-1,2.593,-1,-1,2.449,-1,2.494,-1,2.346,-1,-1,2.642,-1,-1,2.094,-1,-1,-1,2.37,-1,-1,-1,-1,2.444,-1,-1,-1,2.593,-1,-1,-1,-1,-1,2.42,-1,2.346,-1,-1,-1,-1,-1,-1,-1,-1,2.377,,,,-1,-1,,,,
67,-1,-1,2.593,-1,-1,2.519,-1,2.444,-1,2.469,-1,-1,2.5,-1,-1,2.364,-1,-1,-1,2.395,-1,-1,-1,-1,2.323,-1,-1,-1,2.506,-1,-1,-1,-1,-1,2.281,-1,2.494,-1,-1,-1,-1,-1,-1,-1,-1,2.346,,,,-1,-1,,,,
69,-1,-1,2.558,-1,-1,2.377,-1,2.519,-1,2.321,-1,-1,2.555,-1,-1,2.355,-1,-1,-1,2.361,-1,-1,-1,-1,2.493,-1,-1,-1,2.369,-1,-1,-1,-1,-1,2.194,-1,2.494,-1,-1,-1,-1,-1,-1,-1,-1,2.205,,,,-1,-1,,,,
71,-1,-1,2.593,-1,-1,2.303,-1,2.446,-1,2.321,-1,-1,2.569,-1,-1,2.332,-1,-1,-1,2.332,-1,-1,-1,-1,2.335,-1,-1,-1,2.413,-1,-1,-1,-1,-1,2.209,-1,2.367,-1,-1,-1,-1,-1,-1,-1,-1,2.252,,,,-1,-1,,,,
73,-1,-1,-1,-1,-1,2.499,-1,2.519,-1,2.385,-1,-1,2.518,-1,-1,2.447,-1,-1,-1,2.198,-1,-1,-1,-1,2.435,-1,-1,-1,2.525,-1,-1,-1,-1,-1,2.317,-1,2.494,-1,-1,-1,-1,-1,-1,-1,-1,2.165,,,,-1,-1,,,,
75,-1,-1,-1,-1,-1,2.568,-1,2.543,-1,2.243,-1,-1,2.519,-1,-1,2.384,-1,-1,-1,2.353,-1,-1,-1,-1,2.391,-1,-1,-1,2.568,-1,-1,-1,-1,-1,2.395,-1,2.494,-1,-1,-1,-1,-1,-1,-1,-1,2.427,,,,-1,-1,,,,
77,-1,-1,-1,-1,-1,2.377,-1,2.377,-1,2.279,-1,-1,2.536,-1,-1,2.459,-1,-1,-1,2.37,-1,-1,-1,-1,2.509,-1,-1,-1,2.354,-1,-1,-1,-1,-1,2.261,-1,2.497,-1,-1,-1,-1,-1,-1,-1,-1,2.153,,,,-1,-1,,,,
79,-1,-1,-1,-1,-1,2.303,-1,2.456,-1,2.376,-1,-1,2.496,-1,-1,2.408,-1,-1,-1,2.366,-1,-1,-1,-1,2.552,-1,-1,-1,2.456,-1,-1,-1,-1,-1,2.439,-1,2.424,-1,-1,-1,-1,-1,-1,-1,-1,2.363,,,,-1,-1,,,,
81,-1,-1,-1,-1,-1,2.593,-1,2.444,-1,2.469,-1,-1,-1,-1,-1,2.258,-1,-1,-1,2.262,-1,-1,-1,-1,2.325,-1,-1,-1,2.309,-1,-1,-1,-1,-1,2.433,-1,2.543,-1,-1,-1,-1,-1,-1,-1,-1,2.405,,,,-1,-1,,,,
83,-1,-1,-1,-1,-1,-1,-1,2.543,-1,2.244,-1,-1,-1,-1,-1,2.488,-1,-1,-1,2.443,-1,-1,-1,-1,2.339,-1,-1,-1,2.518,-1,-1,-1,-1,-1,2.297,-1,2.519,-1,-1,-1,-1,-1,-1,-1,-1,2.26,,,,-1,-1,,,,
85,-1,-1,-1,-1,-1,-1,-1,2.593,-1,2.472,-1,-1,-1,-1,-1,2.416,-1,-1,-1,2.236,-1,-1,-1,-1,2.518,-1,-1,-1,2.404,-1,-1,-1,-1,-1,2.307,-1,2.543,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
87,-1,-1,-1,-1,-1,-1,-1,2.469,-1,2.442,-1,-1,-1,-1,-1,2.339,-1,-1,-1,2.317,-1,-1,-1,-1,2.351,-1,-1,-1,2.373,-1,-1,-1,-1,-1,2.329,-1,2.543,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
89,-1,-1,-1,-1,-1,-1,-1,2.568,-1,2.256,-1,-1,-1,-1,-1,2.276,-1,-1,-1,2.24,-1,-1,-1,-1,2.38,-1,-1,-1,2.542,-1,-1,-1,-1,-1,2.365,-1,2.543,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
91,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.295,-1,-1,-1,-1,-1,2.469,-1,-1,-1,2.455,-1,-1,-1,-1,2.404,-1,-1,-1,2.399,-1,-1,-1,-1,-1,2.355,-1,2.617,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
93,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.489,-1,-1,-1,-1,-1,2.255,-1,-1,-1,2.328,-1,-1,-1,-1,2.617,-1,-1,-1,2.494,-1,-1,-1,-1,-1,2.248,-1,2.528,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
95,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.363,-1,-1,-1,2.518,-1,-1,-1,-1,-1,2.324,-1,2.371,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
97,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.34,-1,-1,-1,2.448,-1,-1,-1,-1,-1,2.263,-1,2.371,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
99,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.482,-1,-1,-1,2.334,-1,-1,-1,-1,-1,2.346,-1,2.562,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
101,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.593,-1,-1,-1,2.519,-1,-1,-1,-1,-1,2.257,-1,2.568,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
103,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.416,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.536,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.37,-1,2.511,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
105,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.267,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.539,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
107,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.565,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
109,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.301,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
111,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.333,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
113,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.387,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,,,,
