Mom ID,i3518,i919,i3516,i3530,i3510,i3513,i924,i3533,i3526,i3511,i3524,i3535,i3533,i3503,i931,i941,i3537,i3538,i3502,i3510,i915,i3539,i3513,i3526,i3527,i915,i3502,i3510,i3519,i3523,i935,i948,i3513,i3524,i3501,i3527,i915,i3513,i3530,i3530,i3530,i3523,i3521,i3505,i3528,i3617,i3529,i3617,i3514,i3506,i3642,i3642,i3531,i3532,i3506,i3532,i3617,i3534,i916,i3536,i3511
Birthdate,38511,38535,38569,38569,38509,38539,38543,38509,38565,38577,38509,38529,38515,38535,38543,38579,38515,38519,38547,38517,38531,38535,38517,38527,38579,38517,38579,38523,38527,38543,38547,38547,38523,38523,38535,38543,38525,38535,38543,38537,38543,38549,38585,38597,38635,38649,38661,38671,38609,38619,38641,38645,38657,38665,38609,38659,38667,38667,38587,38667,38587
ID,i958,i959,i960,i961,i962,i963,i964,i965,i966,i967,i968,i969,i971,i972,i973,i974,i975,i976,i977,i978,i979,i980,i981,i982,i983,i984,i985,i986,i987,i988,i989,i990,i991,i992,i993,i994,i995,i996,i997,i998,i999,i1000,i3649,i3650,i3651,i3652,i3653,i3654,i3655,i3656,i3657,i3658,i3659,i3660,i3661,i3662,i3663,i3664,i3665,i3666,i3667
Vial,b1,b1,b1,b2,b3,b3,b3,b4,b4,b4,b5,b5,b6,b6,b6,b6,b7,b8,b8 (b14),b9,b9,b9,b10,b10,b10,b11,b11,b12,b12,b12,b12,b12 (b13),b13,b14,b14,b14,b15,b18,b18,b19,b20,b20,b1,b1,b1,b1,b1,b1,b2,b2,b2,b2,b2,b2,b3,b3,b3,b4,b5,b5,b7
Age,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1
87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1
