Mom ID,i25,i65,i60,i85,i98,i65,i2,i40,i65,i3,i103,i16,i14,i68,i8,i103,i29,i11,i40,i97,i98,i2,i41,i10,i65,i90,i22,i27,i7,i104,i7,i99,i90,i11,i16,i16,i1,i3,i11,i34,i14,i65,i30,i26,i40,i11,i65,i107,i35,i24,i25,i99,i29,i83,i5,i23,i103,i25,i2285,i86,i2281,i2281,i2295,i41,i2300,i2286,i48,i2283,i1656,i2283,i2295,i45,i2302,i2296,i1678,i31,i2284,i2281,i2291
Birth date,38501,38539,38547,38561,38565,38573,38505,38537,38541,38527,38563,38569,38505,38531,38547,38573,38505,38519,38537,38533,38565,38507,38561,38507,38541,38567,38507,38507,38515,38539,38509,38527,38567,38573,38509,38521,38527,38531,38537,38573,38511,38541,38511,38517,38531,38537,38547,38547,38577,38519,38519,38529,38519,38519,38523,38523,38547,38523,38587,38623,38633,38653,38675,38605,38653,38683,38601,38635,38661,38601,38671,38621,38661,38601,38615,38579,38601,38615,38615
ID,i250,i251,i252,i253,i254,i255,i256,i257,i258,i259,i260,i261,i262,i263,i264,i265,i266,i267,i268,i269,i270,i271,i272,i273,i274,i275,i276,i277,i278,i279,i280,i281,i282,i283,i284,i285,i286,i287,i288,i289,i290,i291,i292,i293,i294,i295,i296,i297,i298,i299,i300,i301,i302,i303,i304,i305,i306,i307,i1747,i1748,i1749,i1750,i1751,i1752,i1753,i1754,i1755,i1756,i1757,i1758,i1759,i1760,i1761,i1762,i1763,i1764,i1765,i1766,i1767
Vial,e1,e1,e1,e1,e1,e1,e2,e2,e2,e2 (e20),e2,e2,e3,e3,e3 (part of e19),e3,e4,e4,e4,e4 (part of e17),e4,e5,e5,e6,e6,e6,e7,e8,e8,e8 (part of e16),e9,e9,e9,e9,e10,e10,e10,e10,e10 (part of e15),e10,e11,e11,e12,e12,e12,e12,e12,e12 (part of e14),e12,e13,e14,e14,e15,e16,e17,e18,e18,e19,e1,e1,e1,e1,e1,e2,e2,e2,e3,e3,e3,e4,e4,e5,e5,e6,e6,e7,e8,e10,e12
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
33,2.083,-1,-1,-1,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.975,na,2.025,na,-1,-1,na,-1,2.109,2.321,-1,1.531,-1,1.852,-1,-1,-1,-1,-1,2.049,-1,2.198,-1,-1,-1,-1,-1,-1,-1,2.061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,,1.542,,-1,-1,-1,-1,1.605,2.123,-1,-1
35,2.074,-1,-1,-1,-1,-1,-1,-1,-1,2.173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.237,2.074,-1,-1,-1,2.278,-1,2.209,2.346,-1,1.531,-1,2.049,-1,-1,-1,-1,-1,2.099,-1,2.198,-1,-1,-1,-1,-1,-1,-1,2.015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,,1.556,,-1,-1,-1,-1,1.728,2.123,-1,-1
37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.148,2.025,-1,-1,-1,2.163,-1,2.225,2.346,-1,1.531,-1,1.951,-1,-1,-1,-1,-1,2.148,-1,2.272,-1,-1,-1,-1,-1,-1,-1,2.074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,,1.481,,-1,-1,-1,-1,-1,2.173,-1,-1
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.298,2.074,-1,-1,-1,2.266,-1,-1,2.346,-1,-1,-1,2.025,-1,-1,-1,-1,-1,2.198,-1,2.222,-1,-1,-1,-1,-1,-1,-1,2.074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,,1.531,,-1,-1,-1,-1,-1,2.173,-1,-1
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.237,2.074,-1,-1,-1,2.293,-1,-1,2.346,-1,-1,-1,1.975,-1,-1,-1,-1,-1,2.198,-1,2.272,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,,1.531,,-1,-1,-1,-1,-1,2.123,-1,-1
43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.195,2.049,-1,-1,-1,2.313,-1,-1,2.444,-1,-1,-1,2.074,-1,-1,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,,1.359,,-1,-1,-1,-1,-1,2.073,-1,-1
45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.348,2.049,-1,-1,-1,2.218,-1,-1,-1,-1,-1,-1,1.975,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,2.247,-1,-1
47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.306,2.074,-1,-1,-1,2.267,-1,-1,-1,-1,-1,-1,2.074,-1,-1,-1,-1,-1,-1,-1,2.198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,2.123,-1,-1
49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,2.074,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,2.074,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,2.205,-1,-1
51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,2.099,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,2.074,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,2.247,-1,-1
