ID,Eggrate,AOD,Geno,Treat,Mat
i1285,0.054545455,27,RAMSEY,0.025,Y
i1287,1.285714286,17,RAMSEY,0.025,Y
i1288,0.75,13,RAMSEY,0.025,Y
i1289,0.18956044,33,RAMSEY,0.025,Y
i1292,0.739010989,31,RAMSEY,0.025,Y
i1294,0.292857143,33,RAMSEY,0.025,Y
i1295,0.508333333,23,RAMSEY,0.025,Y
i1297,0.215384615,33,RAMSEY,0.025,Y
i1299,0.306533101,89,RAMSEY,0.025,Y
i1300,0.25,29,RAMSEY,0.025,Y
i1301,0.372996516,87,RAMSEY,0.025,Y
i1304,0.6,13,RAMSEY,0.025,Y
i1305,0.9,13,RAMSEY,0.025,Y
i1308,0.747317899,51,RAMSEY,0.025,Y
i3077,0.794633643,41,RAMSEY,0.025,Y
i3078,0.856643357,29,RAMSEY,0.025,Y
i3079,0.353457172,41,RAMSEY,0.025,Y
i3080,0.490691489,99,RAMSEY,0.025,Y
i3083,0.821428571,21,RAMSEY,0.025,Y
i3084,0.476923077,33,RAMSEY,0.025,Y
i3085,0.305494505,31,RAMSEY,0.025,Y
i3089,0.75,11,RAMSEY,0.025,Y
i3090,0.45056899,79,RAMSEY,0.025,Y
i3091,0.485714286,35,RAMSEY,0.025,Y
i3092,0.35,31,RAMSEY,0.025,Y
i3093,0.380357143,37,RAMSEY,0.025,Y
i3102,0.324916574,65,RAMSEY,0.025,Y
i3107,0.507692308,33,RAMSEY,0.025,Y
i3111,0.588736631,71,RAMSEY,0.025,Y
i3112,0.3,15,RAMSEY,0.025,Y
i3118,0.626373626,57,RAMSEY,0.025,Y
i1310,0.267857143,19,RAMSEY,0.021,Y
i1311,0.678571429,47,RAMSEY,0.021,Y
i1312,0.407369719,95,RAMSEY,0.021,Y
i1313,0.6,15,RAMSEY,0.021,Y
i1315,0.1,23,RAMSEY,0.021,Y
i1316,0.571428571,19,RAMSEY,0.021,Y
i1317,0.533333333,27,RAMSEY,0.021,Y
i1319,0.2,11,RAMSEY,0.021,Y
i3125,1.085714286,17,RAMSEY,0.021,Y
i1321,0.875,17,RAMSEY,0.021,Y
i1323,0.557894737,47,RAMSEY,0.021,Y
i1324,0.535714286,19,RAMSEY,0.021,Y
i1327,0.421212121,29,RAMSEY,0.021,Y
i1328,0.510598291,57,RAMSEY,0.021,Y
i1330,1.25,9,RAMSEY,0.021,Y
i1333,0.47032967,33,RAMSEY,0.021,Y
i1335,0.45,11,RAMSEY,0.021,Y
i1336,0.376470588,37,RAMSEY,0.021,Y
i1337,0.541758242,33,RAMSEY,0.021,Y
i1338,0.505681818,71,RAMSEY,0.021,Y
i1339,0.5,9,RAMSEY,0.021,Y
i1341,0.4,23,RAMSEY,0.021,Y
i1343,0.75,23,RAMSEY,0.021,Y
i1344,0.623626374,29,RAMSEY,0.021,Y
i1345,0.287493158,63,RAMSEY,0.021,Y
i1349,0.491666667,23,RAMSEY,0.021,Y
i1350,0.85,17,RAMSEY,0.021,Y
i1352,0.5,31,RAMSEY,0.021,Y
i1353,0.393385754,99,RAMSEY,0.021,Y
i1354,0.483669355,67,RAMSEY,0.021,Y
i1357,0.916666667,21,RAMSEY,0.021,Y
i1360,0.534065934,33,RAMSEY,0.021,Y
i1361,0.375,23,RAMSEY,0.021,Y
i1364,0.442857143,15,RAMSEY,0.021,Y
i1367,0.85,29,RAMSEY,0.021,Y
i3122,0.542857143,17,RAMSEY,0.021,Y
i3123,0.359195402,61,RAMSEY,0.021,Y
i3124,0.348901099,31,RAMSEY,0.021,Y
i3129,0.297213622,41,RAMSEY,0.021,Y
i3134,0.282661783,61,RAMSEY,0.021,Y
i3135,0.4,15,RAMSEY,0.021,Y
i3139,0.520652174,53,RAMSEY,0.021,Y
i3144,0.754545455,25,RAMSEY,0.021,Y
i3146,0.506993007,31,RAMSEY,0.021,Y
i3150,0.5,11,RAMSEY,0.021,Y
i3151,0.356342495,91,RAMSEY,0.021,Y
i3153,0.43630394,83,RAMSEY,0.021,Y
i1371,0.338311688,45,RAMSEY,0.017,Y
i1373,0.143382353,71,RAMSEY,0.017,Y
i1374,0.266666667,23,RAMSEY,0.017,Y
i1376,0.274089069,81,RAMSEY,0.017,Y
i1378,0.076260948,89,RAMSEY,0.017,Y
i1379,0.6,25,RAMSEY,0.017,Y
i1380,0.098607443,113,RAMSEY,0.017,Y
i1381,0.946428571,19,RAMSEY,0.017,Y
i1383,0.126319176,79,RAMSEY,0.017,Y
i1385,0.063636364,29,RAMSEY,0.017,Y
i1386,0.263513514,93,RAMSEY,0.017,Y
i1387,0.242857143,15,RAMSEY,0.017,Y
i1390,0.28393161,93,RAMSEY,0.017,Y
i1395,0.234846939,103,RAMSEY,0.017,Y
i1399,0.122123317,101,RAMSEY,0.017,Y
i1400,0.671428571,17,RAMSEY,0.017,Y
i1402,0.145104895,29,RAMSEY,0.017,Y
i1404,0.192307692,27,RAMSEY,0.017,Y
i1405,0.108984736,103,RAMSEY,0.017,Y
i1406,0.26974359,55,RAMSEY,0.017,Y
i1407,0.016207063,111,RAMSEY,0.017,Y
i1408,0.183516484,35,RAMSEY,0.017,Y
i1411,0.5,9,RAMSEY,0.017,Y
i3154,0.220647773,83,RAMSEY,0.017,Y
i3156,0.110294118,39,RAMSEY,0.017,Y
i3157,0.243291239,37,RAMSEY,0.017,Y
i3160,0.564685315,29,RAMSEY,0.017,Y
i3161,0.062656642,31,RAMSEY,0.017,Y
i3162,0.317193676,55,RAMSEY,0.017,Y
i3163,0.453296703,31,RAMSEY,0.017,Y
i1416,0.124025974,49,RAMSEY,0.013,Y
i1417,0.14826087,53,RAMSEY,0.013,Y
i1418,0.266666667,21,RAMSEY,0.013,Y
i1428,0.283928571,39,RAMSEY,0.013,Y
i1437,0.081923077,55,RAMSEY,0.013,Y
i1443,0.089285714,23,RAMSEY,0.013,Y
i1447,0.048364154,77,RAMSEY,0.013,Y
i1450,0.120227038,43,RAMSEY,0.013,Y
i1451,0.154456654,59,RAMSEY,0.013,Y
i1455,0.452380952,21,RAMSEY,0.013,Y
i1458,0.113003096,41,RAMSEY,0.013,Y
i1465,0.221313419,79,RAMSEY,0.013,Y
i1466,0.214285714,21,RAMSEY,0.013,Y
i1467,0.020298193,89,RAMSEY,0.013,Y
i1468,0.173890609,43,RAMSEY,0.013,Y
i1471,0.146428571,35,RAMSEY,0.013,Y
i1472,0.262987013,47,RAMSEY,0.013,Y
i1473,0.35,23,RAMSEY,0.013,Y
i1475,0.2,19,RAMSEY,0.013,Y
i1476,0.138461538,59,RAMSEY,0.013,Y
i1478,0.086363636,29,RAMSEY,0.013,Y
i1479,0.208449477,89,RAMSEY,0.013,Y
i1481,0.457142857,15,RAMSEY,0.013,Y
i3171,0.150735294,41,RAMSEY,0.013,Y
i3172,0.120629371,31,RAMSEY,0.013,Y
i3173,0.042966612,67,RAMSEY,0.013,Y
i3174,0.057692308,65,RAMSEY,0.013,Y
i3176,0.132608696,53,RAMSEY,0.013,Y
i3177,0.225524476,31,RAMSEY,0.013,Y
i3178,0.3,15,RAMSEY,0.013,Y
i3179,0.009243697,79,RAMSEY,0.013,Y
i3180,0.039382239,81,RAMSEY,0.013,Y
i1484,0.007631258,59,RAMSEY,0.008,Y
i1488,0.012867647,71,RAMSEY,0.008,Y
i1502,0.022727273,27,RAMSEY,0.008,Y
i1505,0.003968254,65,RAMSEY,0.008,Y
i1508,0.035714286,49,RAMSEY,0.008,Y
