Mom Id,i1914,i560,i560,i571,i1914,i560,i1917,i1919,i544,i560,i1921,i1922,i1923,i1925,i547,i1914,i1926,i560,i1927,i1925,i556,i1933,i1932,i1935,i544,i1936,i1938,i1939,i1923,i1936,i1941,i1939,i1942,i1923,i1945,i553,i1946,i1942,i1947,i1936,i1948,i1942,i1949,i1950,i1951,i1952,i1949,i1927,i547,i1942,i1922,i1915,i1916,i1978,i1978,i1918,i2007,i1918,i1916,i1920,i1995,i1995,i1998,i1998,i1924,i1915,i1920,i2013,i1928,i1929,i1930,i1931,i1996,i1929,i1934,i2013,i579,i546,i1928,i1937,i569,i573,i1940,i1929,i1943,i1944,i2020,i589,i1928,i1930,i1916,i1916,i2020,i1940,i1937,i589,i1953,i1954
Birth Date,38505,38539,38545,38539,38505,38545,38533,38505,38521,38545,38549,38519,38575,38505,38529,38507,38517,38545,38519,38507,38527,38573,38577,38513,38521,38577,38515,38551,38555,38577,38515,38529,38565,38579,38517,38521,38545,38565,38533,38577,38517,38565,38577,38519,38563,38567,38577,38519,38529,38565,38519,38613,38615,38627,38661,38605,38681,38605,38615,38619,38657,38657,38679,38679,38681,38607,38619,38661,38607,38611,38617,38631,38633,38583,38647,38661,38591,38599,38607,38631,38593,38599,38607,38611,38661,38653,38593,38599,38607,38617,38619,38619,38593,38607,38631,38599,38565,38579
ID,i540,i541,i542,i543,i544,i545,i546,i547,i548,i549,i550,i551,i552,i553,i554,i555,i556,i557,i558,i559,i560,i561,i562,i563,i564,i565,i566,i567,i568,i569,i570,i571,i572,i573,i574,i575,i576,i577,i578,i579,i580,i581,i582,i583,i584,i585,i586,i587,i588,i589,i590,i1974,i1975,i1976,i1977,i1978,i1979,i1980,i1981,i1982,i1983,i1984,i1985,i1986,i1987,i1988,i1989,i1990,i1991,i1992,i1993,i1994,i1995,i1996,i1997,i1998,i1999,i2000,i2001,i2002,i2003,i2004,i2005,i2006,i2007,i2008,i2009,i2010,i2011,i2012,i2013,i2014,i2015,i2016,i2017,i2018,i2019,i2020
Vial,aa1,aa1,aa1,aa1 (from part of aa18),aa2,aa2,aa2 (aa17),aa3,aa4,aa4,aa4,aa4 (part of aa16),aa4,aa5,aa5,aa6,aa6,aa6,aa6 (part of aa15),aa7,aa7,aa7,aa7,aa8,aa8,aa8,aa9,aa9,aa9 (part of aa12),aa9,aa10,aa10,aa10,aa10,aa11,aa12,aa12,aa12,aa18,aa12,aa13,aa13,aa13,aa14,aa14,aa14,aa14,aa15,aa15,aa15,aa16,aa1,aa1,aa1,aa1,aa2,aa2,aa3,aa3,aa3,aa3,aa4,aa4,aa3,aa3,aa5,aa5,aa5,aa6,aa6,aa6,aa6,aa6,aa7,aa7,aa7,aa8,aa8,aa8,aa8,aa9,aa9,aa9,aa9,aa10,aa10,aa11,aa11,aa11,aa11,aa11,aa12,aa13,aa13,aa13,aa14,aa16,aa16
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
33,2.613,-1,-1,2.334,-1,-1,2.424,2.638,-1,-1,-1,2.488,2.488,-1,2.524,-1,-1,-1,2.346,-1,2.643,-1,-1,-1,2.543,-1,2.593,-1,-1,-1,-1,2.451,-1,2.371,2.593,-1,-1,-1,-1,-1,2.346,-1,-1,2.42,-1,-1,-1,-1,-1,2.229,-1,-1,-1,-1,-1,2.268,-1,-1,-1,2.276,-1,-1,-1,-1,-1,-1,2.176,-1,-1,-1,-1,-1,2.154,2.23,-1,-1,-1,-1,-1,2.321,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,2.303,2.164,-1,-1,-1,-1,-1,2.49
35,-1,-1,-1,2.304,-1,-1,2.593,2.617,-1,-1,-1,2.574,2.464,-1,2.546,-1,-1,-1,2.335,-1,2.645,-1,-1,-1,2.504,-1,2.593,-1,-1,-1,-1,2.492,-1,2.42,2.593,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,-1,-1,2.328,-1,-1,-1,-1,-1,2.268,-1,-1,-1,2.394,-1,-1,-1,-1,-1,-1,2.246,-1,-1,-1,-1,-1,2.292,2.401,-1,-1,-1,-1,-1,2.041,-1,-1,-1,2.341,-1,-1,-1,-1,-1,-1,2.431,-1,-1,-1,-1,-1,-1,2.469
37,-1,-1,-1,2.377,-1,-1,2.429,2.617,-1,-1,-1,2.593,2.454,-1,2.52,-1,-1,-1,2.29,-1,2.735,-1,-1,-1,2.598,-1,-1,-1,-1,-1,-1,-1,-1,2.447,2.642,-1,-1,-1,-1,-1,2.42,-1,-1,-1,-1,-1,-1,-1,-1,2.332,-1,-1,-1,-1,-1,2.346,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,2.168,-1,-1,-1,-1,-1,2.442,2.304,-1,-1,-1,-1,-1,2.37,-1,-1,-1,2.337,-1,-1,-1,-1,-1,-1,2.542,-1,-1,-1,-1,-1,-1,2.345
39,-1,-1,-1,2.321,-1,-1,2.463,2.617,-1,-1,-1,2.588,2.519,-1,2.593,-1,-1,-1,2.314,-1,2.815,-1,-1,-1,2.644,-1,-1,-1,-1,-1,-1,-1,-1,2.438,2.672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.444,2.382,-1,-1,-1,-1,-1,2.401,-1,-1,-1,2.24,-1,-1,-1,-1,-1,-1,2.529,-1,-1,-1,-1,-1,-1,2.401
41,-1,-1,-1,2.395,-1,-1,2.413,2.667,-1,-1,-1,-1,2.327,-1,2.641,-1,-1,-1,2.359,-1,2.688,-1,-1,-1,2.637,-1,-1,-1,-1,-1,-1,-1,-1,2.287,2.514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.568,2.312,-1,-1,-1,-1,-1,2.519,-1,-1,-1,2.312,-1,-1,-1,-1,-1,-1,2.603,-1,-1,-1,-1,-1,-1,2.339
43,-1,-1,-1,2.42,-1,-1,2.496,2.716,-1,-1,-1,-1,2.42,-1,2.634,-1,-1,-1,2.308,-1,-1,-1,-1,-1,2.613,-1,-1,-1,-1,-1,-1,-1,-1,2.462,2.608,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.343,2.469,-1,-1,-1,-1,-1,2.519,-1,-1,-1,2.286,-1,-1,-1,-1,-1,-1,2.613,-1,-1,-1,-1,-1,-1,2.553
45,-1,-1,-1,2.247,-1,-1,2.491,2.593,-1,-1,-1,-1,2.52,-1,2.574,-1,-1,-1,2.37,-1,-1,-1,-1,-1,2.685,-1,-1,-1,-1,-1,-1,-1,-1,2.238,2.575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,2.295,-1,-1,-1,-1,-1,2.507,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,2.543,-1,-1,-1,-1,-1,-1,2.533
47,-1,-1,-1,2.399,-1,-1,2.494,2.667,-1,-1,-1,-1,2.551,-1,2.574,-1,-1,-1,2.451,-1,-1,-1,-1,-1,2.593,-1,-1,-1,-1,-1,-1,-1,-1,2.423,2.683,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.351,2.281,-1,-1,-1,-1,-1,2.543,-1,-1,-1,2.429,-1,-1,-1,-1,-1,-1,2.609,-1,-1,-1,-1,-1,-1,2.342
49,-1,-1,-1,2.409,-1,-1,2.482,2.667,-1,-1,-1,-1,2.432,-1,2.557,-1,-1,-1,2.456,-1,-1,-1,-1,-1,2.496,-1,-1,-1,-1,-1,-1,-1,-1,2.469,2.735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.341,2.519,-1,-1,-1,-1,-1,2.37,-1,-1,-1,2.326,-1,-1,-1,-1,-1,-1,2.503,-1,-1,-1,-1,-1,-1,-1
51,-1,-1,-1,2.456,-1,-1,2.55,2.715,-1,-1,-1,-1,2.568,-1,2.667,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.385,2.667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,2.524,-1,-1,-1,-1,-1,2.312,-1,-1,-1,2.503,-1,-1,-1,-1,-1,-1,2.701,-1,-1,-1,-1,-1,-1,-1
